sampleID,read1,read2,condition
35C_1,ext_L12534-1_RAW-35C-1_S16_R1_001.fastq.gz,ext_L12534-1_RAW-35C-1_S16_R2_001.fastq.gz,35C
35C_2,ext_L12535-1_RAW-35C-2_S17_R1_001.fastq.gz,ext_L12535-1_RAW-35C-2_S17_R2_001.fastq.gz,35C
35C_3,ext_L12536-1_RAW-35C-3_S18_R1_001.fastq.gz,ext_L12536-1_RAW-35C-3_S18_R2_001.fastq.gz,35C
37C_1,ext_L12537-1_RAW-37C-1_S19_R1_001.fastq.gz,ext_L12537-1_RAW-37C-1_S19_R2_001.fastq.gz,37C
37C_2,ext_L12538-1_RAW-37C-2_S20_R1_001.fastq.gz,ext_L12538-1_RAW-37C-2_S20_R2_001.fastq.gz,37C
37C_3,ext_L12539-1_RAW-37C-3_S21_R1_001.fastq.gz,ext_L12539-1_RAW-37C-3_S21_R2_001.fastq.gz,37C
37C_4,ext_L12540-1_RAW-37C-4_S22_R1_001.fastq.gz,ext_L12540-1_RAW-37C-4_S22_R2_001.fastq.gz,37C
38C_1,ext_L12541-1_RAW-38C-1_S23_R1_001.fastq.gz,ext_L12541-1_RAW-38C-1_S23_R2_001.fastq.gz,38C
38C_2,ext_L12542-1_RAW-38C-2_S24_R1_001.fastq.gz,ext_L12542-1_RAW-38C-2_S24_R2_001.fastq.gz,38C
38C_3,ext_L12543-1_RAW-38C-3_S25_R1_001.fastq.gz,ext_L12543-1_RAW-38C-3_S25_R2_001.fastq.gz,38C
